address,latitude,longitude,floorSize,price,url
"300 Stone Canyon Rd, Los Angeles, CA 90077",34.080532,-118.44195,"17,600","$59,500,000",https://www.zillow.com/homedetails/300-Stone-Canyon-Rd-Los-Angeles-CA-90077/20526830_zpid/
"8808 Thrasher Ave, Los Angeles, CA 90069",34.100365,-118.38458,"3,500","$5,975,000",https://www.zillow.com/homedetails/8808-Thrasher-Ave-Los-Angeles-CA-90069/20799912_zpid/
"3857 Westside Ave, Los Angeles, CA 90008",34.01572,-118.32739,"2,196","$1,329,000",https://www.zillow.com/homedetails/3857-Westside-Ave-Los-Angeles-CA-90008/20579322_zpid/
"5447 Zelzah Ave Apt 131, Encino, CA 91316",34.1698,-118.522514,924,"$359,998",https://www.zillow.com/homedetails/5447-Zelzah-Ave-APT-131-Encino-CA-91316/19939041_zpid/
"2215 Oak Glen Pl, Los Angeles, CA 90039",34.094395,-118.25603,"2,165","$1,650,000",https://www.zillow.com/homedetails/2215-Oak-Glen-Pl-Los-Angeles-CA-90039/20743131_zpid/
"722 Superba Ave, Venice, CA 90291",33.992046,-118.46039,992,"$1,999,000",https://www.zillow.com/homedetails/722-Superba-Ave-Venice-CA-90291/20452258_zpid/
"2118 Glendon Ave, Los Angeles, CA 90025",34.045444,-118.431305,"1,602","$1,495,000",https://www.zillow.com/homedetails/2118-Glendon-Ave-Los-Angeles-CA-90025/20501684_zpid/
"1716 Courtney Ave, Los Angeles, CA 90046",34.102253,-118.357025,"3,806","$3,650,000",https://www.zillow.com/homedetails/1716-Courtney-Ave-Los-Angeles-CA-90046/20795082_zpid/
"898 Temple Ter Unit 225, Los Angeles, CA 90042",34.099083,-118.18137,924,"$518,000",https://www.zillow.com/homedetails/898-Temple-Ter-UNIT-225-Los-Angeles-CA-90042/20686813_zpid/
"408 W 95th St, Los Angeles, CA 90003",33.949806,-118.28096,"2,029","$750,000",https://www.zillow.com/homedetails/408-W-95th-St-Los-Angeles-CA-90003/20951378_zpid/
"12009 Longacre Ave, Granada Hills, CA 91344",34.28892,-118.529594,"10,492","$8,975,000",https://www.zillow.com/homedetails/12009-Longacre-Ave-Granada-Hills-CA-91344/250330679_zpid/
"1166 W 37th St, San Pedro, CA 90731",33.714355,-118.3051,"1,370","$769,900",https://www.zillow.com/homedetails/1166-W-37th-St-San-Pedro-CA-90731/21315421_zpid/
"3860 Winford Dr, Tarzana, CA 91356",34.140583,-118.548195,"6,549","$3,895,000",https://www.zillow.com/homedetails/3860-Winford-Dr-Tarzana-CA-91356/19948194_zpid/
"6531 Maryland Dr, Los Angeles, CA 90048",34.067856,-118.37061,"2,788","$2,795,000",https://www.zillow.com/homedetails/6531-Maryland-Dr-Los-Angeles-CA-90048/20776264_zpid/
"18620 Hatteras St Unit 170, Tarzana, CA 91356",34.177036,-118.53929,911,"$330,000",https://www.zillow.com/homedetails/18620-Hatteras-St-UNIT-170-Tarzana-CA-91356/19934566_zpid/
"619 Haverford Ave, Pacific Palisades, CA 90272",34.04156,-118.530106,"3,815","$4,350,000",https://www.zillow.com/homedetails/619-Haverford-Ave-Pacific-Palisades-CA-90272/68993545_zpid/
"3226 Perlita Ave, Los Angeles, CA 90039",34.113968,-118.2529,"2,334","$1,189,000",https://www.zillow.com/homedetails/3226-Perlita-Ave-Los-Angeles-CA-90039/20750942_zpid/
"11630 Moraga Ln, Los Angeles, CA 90049",34.086887,-118.467834,"19,127","$25,300,000",https://www.zillow.com/homedetails/11630-Moraga-Ln-Los-Angeles-CA-90049/20528541_zpid/
"8811 Canoga Ave #510, Canoga Park, CA 91304",34.230343,-118.600044,"2,000","$318,000",https://www.zillow.com/homedetails/8811-Canoga-Ave-510-Canoga-Park-CA-91304/136689055_zpid/
"6849 Yarmouth Ave, Reseda, CA 91335",34.195415,-118.51998,"1,311","$649,000",https://www.zillow.com/homedetails/6849-Yarmouth-Ave-Reseda-CA-91335/19917112_zpid/
"6816 Crescent St, Los Angeles, CA 90042",34.114315,-118.174484,810,"$718,000",https://www.zillow.com/homedetails/6816-Crescent-St-Los-Angeles-CA-90042/20773259_zpid/
"14377 Germain St, Mission Hills, CA 91345",34.263676,-118.44668,"1,766","$840,000",https://www.zillow.com/homedetails/14377-Germain-St-Mission-Hills-CA-91345/20114377_zpid/
